id;source;target;class
e1;1;2;n d
e2;2;3;n d
e3;4;3;n d
e4;2;4;n d
e5;4;13;n d
e6;13;3;n d
e7;5;1;n d
e8;1;6;n d
e9;7;1;n d
e10;8;1;n d
e11;7;8;n d
e12;1;9;n d
e13;9;10;n d
e14;11;1;n d
e15;12;1;n d
e16;12;2;n d
e17;20;2;n d
e18;19;11;y d
e19;21;2;n d
e20;22;21;n d
e21;21;24;n d
e22;24;25;n d
e23;21;25;n d
e24;23;26;n d
e25;21;23;n d
e26;22;2;n d
e27;27;25;n d
e28;14;15;n d
e29;15;16;n d
e30;14;16;n d
e31;28;27;n d
e32;29;27;y d
e33;29;24;n d
e34;29;30;y d
e35;30;27;y d
e36;29;19;y d
e37;19;18;y
